country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IN,India,,,43876,1,2,3,3,5,0
IN,India,,,43877,2,2,3,2,0,0
IN,India,,,43878,-1,1,3,1,4,0
IN,India,,,43879,0,2,4,2,3,0
IN,India,,,43880,0,2,1,1,4,1
IN,India,,,43881,1,3,5,5,4,-1
IN,India,,,43882,-4,0,6,-4,-19,5
IN,India,,,43883,-2,-2,4,-2,-2,1
IN,India,,,43884,-2,-1,1,0,2,1
IN,India,,,43885,-1,0,2,1,4,0
IN,India,,,43886,-1,-2,3,1,1,0
IN,India,,,43887,0,0,1,3,3,-1
IN,India,,,43888,-1,-1,3,1,4,0
IN,India,,,43889,0,1,3,1,5,0
IN,India,,,43890,-2,-1,-1,0,8,0
IN,India,,,43891,1,4,1,0,3,1
IN,India,,,43892,0,2,3,0,5,0
IN,India,,,43893,-1,2,3,0,4,0
IN,India,,,43894,0,5,1,3,7,0
IN,India,,,43895,-1,3,3,2,5,0
IN,India,,,43896,-1,2,0,3,5,1
IN,India,,,43897,0,6,2,5,7,0
IN,India,,,43898,2,9,2,3,6,0
IN,India,,,43899,-1,6,4,-6,-12,3
IN,India,,,43900,-19,-23,-4,-22,-44,11
IN,India,,,43901,-5,-1,-2,-1,-5,1
IN,India,,,43902,-3,1,2,0,0,0
IN,India,,,43903,-5,1,0,-2,0,1
IN,India,,,43904,-11,-3,-6,-8,-6,4
IN,India,,,43905,-11,-1,-6,-7,2,3
IN,India,,,43906,-8,2,-1,-6,-4,3
IN,India,,,43907,-11,0,-2,-9,-8,3
IN,India,,,43908,-12,1,-6,-10,-8,4
IN,India,,,43909,-16,1,-7,-14,-11,5
IN,India,,,43910,-22,1,-13,-18,-15,7
IN,India,,,43911,-34,-4,-23,-25,-18,8
IN,India,,,43912,-78,-76,-58,-70,-49,21
IN,India,,,43913,-54,-27,-35,-52,-50,20
IN,India,,,43914,-68,-48,-44,-64,-65,25
IN,India,,,43915,-77,-64,-53,-73,-72,30
IN,India,,,43916,-76,-64,-51,-73,-70,30
IN,India,,,43917,-77,-64,-52,-73,-70,31
IN,India,,,43918,-78,-65,-54,-73,-66,29
IN,India,,,43919,-77,-65,-57,-71,-47,22
IN,India,,,43920,-76,-63,-51,-74,-68,30
IN,India,,,43921,-75,-63,-50,-73,-68,29
IN,India,,,43922,-76,-64,-52,-73,-68,29
IN,India,,,43923,-76,-65,-51,-74,-69,30
IN,India,,,43924,-76,-62,-51,-73,-67,30
IN,India,,,43925,-77,-64,-53,-73,-61,28
IN,India,,,43926,-77,-65,-56,-71,-43,21
IN,India,,,43927,-76,-63,-50,-73,-68,30
IN,India,,,43928,-78,-53,-46,-67,-67,28
IN,India,,,43929,-78,-52,-48,-68,-67,29
IN,India,,,43930,-78,-54,-48,-68,-68,30
IN,India,,,43931,-79,-53,-48,-69,-69,32
IN,India,,,43932,-80,-55,-52,-69,-64,30
IN,India,,,43933,-79,-56,-54,-67,-44,22
IN,India,,,43934,-78,-53,-48,-69,-66,31
IN,India,,,43935,-78,-55,-47,-69,-69,30
IN,India,,,43936,-78,-51,-48,-66,-64,29
IN,India,,,43937,-85,-44,-60,-65,-65,30
IN,India,,,43938,-85,-43,-60,-65,-65,31
IN,India,,,43939,-87,-50,-66,-67,-60,28
IN,India,,,43940,-86,-50,-68,-65,-42,22
IN,India,,,43941,-86,-47,-62,-67,-63,30
IN,India,,,43942,-85,-47,-62,-66,-64,29
IN,India,,,43943,-86,-46,-63,-66,-63,29
IN,India,,,43944,-86,-47,-62,-66,-64,30
IN,India,,,43945,-85,-44,-63,-66,-63,30
IN,India,,,43946,-86,-46,-65,-66,-59,29
IN,India,,,43947,-86,-51,-68,-66,-41,22
IN,India,,,43948,-85,-47,-62,-67,-62,31
IN,India,,,43949,-85,-46,-61,-66,-63,28
IN,India,,,43950,-85,-44,-62,-64,-61,29
IN,India,,,43951,-84,-43,-60,-64,-61,29
IN,India,,,43952,-85,-43,-62,-65,-64,30
IN,India,,,43953,-85,-44,-64,-64,-54,27
IN,India,,,43954,-85,-46,-67,-63,-37,21
IN,India,,,43955,-81,-35,-60,-61,-56,27
IN,India,,,43956,-81,-35,-60,-59,-56,26
IN,India,,,43957,-79,-30,-60,-56,-54,25
IN,India,,,43958,-79,-31,-59,-57,-56,26
IN,India,,,43959,-79,-28,-59,-56,-52,26
IN,India,,,43960,-80,-32,-62,-57,-49,25
IN,India,,,43961,-82,-39,-65,-58,-32,19
IN,India,,,43962,-78,-28,-58,-56,-50,25
IN,India,,,43963,-78,-28,-57,-55,-52,24
IN,India,,,43964,-77,-26,-58,-53,-49,23
IN,India,,,43965,-77,-27,-57,-54,-49,23
IN,India,,,43966,-76,-22,-56,-52,-48,23
IN,India,,,43967,-77,-25,-59,-52,-41,22
IN,India,,,43968,-79,-32,-63,-54,-27,17
IN,India,,,43969,-74,-21,-56,-52,-45,22
IN,India,,,43970,-73,-20,-56,-50,-46,21
IN,India,,,43971,-72,-21,-57,-49,-44,21
IN,India,,,43972,-72,-20,-56,-49,-44,21
IN,India,,,43973,-72,-17,-56,-48,-42,21
IN,India,,,43974,-72,-18,-59,-48,-37,19
IN,India,,,43975,-76,-28,-61,-50,-24,15
IN,India,,,43976,-71,-19,-55,-51,-51,22
IN,India,Andaman and Nicobar Islands,,43876,1,-9,5,-2,6,2
IN,India,Andaman and Nicobar Islands,,43877,0,-6,1,2,4,
IN,India,Andaman and Nicobar Islands,,43878,-1,2,5,1,6,1
IN,India,Andaman and Nicobar Islands,,43879,-2,12,-4,-1,4,3
IN,India,Andaman and Nicobar Islands,,43880,-5,9,-6,2,4,1
