date,state_code,TMAX,TMIN,PRCP,TAVG
2020-01-01,TN,303.0,225.0,279.0,257
2020-01-02,TN,,234.0,330.0,276
2020-01-03,TN,312.0,240.0,0.0,279
2020-01-04,TN,312.0,245.0,0.0,280
2020-01-05,TN,316.0,,0.0,277
2020-01-06,TN,,236.0,8.0,271
2020-01-07,TN,301.0,,20.0,274
2020-01-08,TN,302.0,,0.0,258
2020-01-09,TN,,203.0,0.0,254
2020-01-10,TN,,199.0,0.0,255
2020-01-11,TN,302.0,206.0,0.0,257
2020-01-12,TN,,,0.0,257
2020-01-13,TN,,,0.0,247
2020-01-14,TN,297.0,182.0,0.0,247
2020-01-15,TN,,200.0,0.0,257
2020-01-16,TN,,202.0,0.0,258
2020-01-17,TN,301.0,208.0,0.0,267
2020-01-18,TN,,246.0,0.0,271
2020-01-19,TN,,,0.0,272
2020-01-20,TN,,216.0,0.0,266
2020-01-21,TN,315.0,216.0,0.0,260
2020-01-22,TN,304.0,220.0,0.0,264
2020-01-23,TN,,,0.0,263
2020-01-24,TN,311.0,204.0,0.0,254
2020-01-25,TN,310.0,195.0,0.0,249
2020-01-26,TN,,198.0,0.0,259
2020-01-27,TN,316.0,210.0,0.0,266
2020-01-28,TN,,211.0,0.0,275
2020-01-29,TN,327.0,216.0,0.0,271
2020-01-30,TN,320.0,218.0,0.0,270
2020-01-31,TN,324.0,220.0,0.0,272
2020-02-01,TN,317.0,229.0,0.0,274
2020-02-02,TN,318.0,220.0,0.0,269
2020-02-03,TN,,216.0,0.0,268
2020-02-04,TN,310.0,225.0,0.0,267
2020-02-05,TN,312.0,212.0,0.0,272
2020-02-06,TN,316.0,208.0,0.0,269
2020-02-07,TN,321.0,218.0,0.0,274
2020-02-08,TN,,220.0,0.0,278
2020-02-09,TN,322.0,232.0,0.0,275
2020-02-10,TN,315.0,230.0,0.0,276
2020-02-11,TN,,226.0,0.0,278
2020-02-12,TN,316.0,,0.0,272
2020-02-13,TN,,228.0,0.0,269
2020-02-14,TN,,,0.0,268
2020-02-15,TN,,209.0,0.0,265
2020-02-16,TN,344.0,196.0,0.0,263
2020-02-17,TN,,206.0,0.0,264
2020-02-18,TN,320.0,204.0,0.0,261
2020-02-19,TN,319.0,206.0,0.0,268
2020-02-20,TN,320.0,,0.0,268
2020-02-21,TN,315.0,205.0,0.0,273
2020-02-22,TN,316.0,252.0,0.0,278
2020-02-23,TN,320.0,,0.0,281
2020-02-24,TN,,226.0,0.0,277
2020-02-25,TN,,234.0,0.0,283
2020-02-26,TN,330.0,,0.0,283
2020-02-27,TN,332.0,236.0,0.0,282
2020-02-28,TN,326.0,248.0,0.0,281
2020-02-29,TN,326.0,234.0,0.0,283
2020-03-01,TN,324.0,,0.0,282
2020-03-02,TN,324.0,230.0,0.0,279
2020-03-03,TN,,234.0,0.0,286
2020-03-04,TN,,226.0,0.0,286
2020-03-05,TN,347.0,234.0,0.0,287
2020-03-06,TN,338.0,248.0,0.0,288
2020-03-07,TN,325.0,255.0,0.0,288
2020-03-08,TN,,,0.0,287
2020-03-09,TN,334.0,224.0,0.0,282
2020-03-10,TN,334.0,236.0,0.0,283
2020-03-11,TN,336.0,234.0,0.0,283
2020-03-12,TN,333.0,236.0,0.0,286
2020-03-13,TN,335.0,236.0,0.0,281
2020-03-14,TN,332.0,,0.0,274
2020-03-15,TN,332.0,245.0,0.0,288
2020-03-16,TN,,250.0,0.0,293
2020-03-17,TN,343.0,244.0,0.0,293
2020-03-18,TN,345.0,250.0,0.0,292
2020-03-19,TN,,246.0,0.0,297
2020-03-20,TN,352.0,245.0,0.0,292
2020-03-21,TN,345.0,251.0,0.0,294
2020-03-22,TN,344.0,263.0,0.0,293
2020-03-23,TN,345.0,248.0,0.0,288
2020-03-24,TN,336.0,240.0,0.0,288
2020-03-25,TN,335.0,244.0,0.0,287
2020-03-26,TN,336.0,248.0,0.0,291
2020-03-27,TN,344.0,241.0,0.0,290
2020-03-28,TN,343.0,236.0,0.0,285
2020-03-29,TN,344.0,,0.0,288
2020-03-30,TN,346.0,228.0,0.0,287
2020-03-31,TN,,244.0,0.0,293
2020-04-01,TN,,241.0,0.0,301
2020-04-02,TN,362.0,249.0,0.0,303
2020-04-03,TN,366.0,255.0,0.0,299
2020-04-04,TN,349.0,244.0,0.0,300
2020-04-05,TN,347.0,264.0,0.0,307
2020-04-06,TN,354.0,275.0,0.0,309
2020-04-07,TN,354.0,269.0,0.0,307
2020-04-08,TN,358.0,275.0,0.0,308
2020-04-09,TN,356.0,,0.0,279
2020-04-10,TN,352.0,232.0,0.0,298
2020-04-11,TN,346.0,258.0,0.0,298
2020-04-12,TN,346.0,255.0,0.0,296
2020-04-13,TN,346.0,247.0,0.0,296
2020-04-14,TN,347.0,246.0,0.0,296
2020-04-15,TN,346.0,252.0,0.0,302
2020-04-16,TN,351.0,248.0,0.0,303
2020-04-17,TN,,264.0,0.0,312
2020-04-18,TN,366.0,271.0,0.0,312
2020-04-19,TN,366.0,272.0,0.0,309
2020-04-20,TN,356.0,,0.0,307
2020-04-21,TN,356.0,264.0,0.0,312
2020-04-22,TN,360.0,268.0,0.0,312
2020-04-23,TN,362.0,272.0,0.0,315
2020-04-24,TN,367.0,280.0,0.0,319
2020-04-25,TN,375.0,287.0,0.0,323
2020-04-26,TN,380.0,226.0,89.0,281
2020-04-27,TN,,266.0,30.0,312
2020-04-28,TN,,276.0,0.0,314
2020-04-29,TN,354.0,,0.0,309
2020-04-30,TN,,268.0,0.0,315
2020-05-01,TN,,280.0,0.0,323
2020-05-02,TN,380.0,286.0,0.0,319
2020-05-03,TN,368.0,273.0,0.0,318
2020-05-04,TN,374.0,274.0,0.0,318
2020-05-05,TN,372.0,276.0,0.0,320
2020-05-06,TN,372.0,274.0,0.0,318
2020-05-07,TN,,273.0,0.0,323
2020-05-08,TN,380.0,285.0,0.0,324
2020-05-09,TN,382.0,284.0,0.0,323
2020-05-10,TN,372.0,,0.0,319
2020-05-11,TN,370.0,276.0,0.0,319
2020-05-12,TN,364.0,,0.0,308
